Date,Bag,Shots Left (est),Grinder Setting,Grind Adjusted,Grind Time,Initial Output (g),Total Output (g),Dose (g),Time Adj (sec),Top-Up Grind (g),Over Grind Removed (g),Bean Delta,Grind Waste (g),Beans Added (g),Dose Correction Type,Correction Amount (g),Output Delta (g),Temp,Pour Delay,Pour Time (sec),Scale Time,Yield (g),Ratio,Finished Shot,Rating,Preference Rating,Rating Difference,Average Rating and Preference Rating weighted to Preference,Rated,For Others,Reference Shot,Signature Shot,Drink Type,Shot Status,Shot Classification,Fault Status,Reference Shot Type,Expression Style,Daily Driver Count,Include in Analysis,Notes,Rating ( Valid Only ),Fault Notes,Bag Opened Date,Hopper Phase,Hopper Fullness,Hopper %,Hopper Range,Hopper Range Link,Hopper Link,Taste Zone,Zone,Zone Score,Taste Score,Agreement %,Flow Score,Model Flag,Time Gap (sec),Scale Zone,Flow Diagnostic,Pour Delay Window,Scale Time Window,Scale Offset,Drift Delta (sec),Shot Drift Status,Shot Quality Score,Shot Tier,Perfect Range Flag,Drift Warning,Hopper Zone,Hopper Drift Link,Hopper Impact Score,Hopper Correction Rule,Action Suggestion,Scale Calibration Reminder,Bag Calibration Reminder,Calculation,Baseline Unaided Output (g),Baseline Output Delta (g),Actual Dose Error (g),Hopper Threshold Flag,Hopper Behaviour,Hopper Severity,Top-Up Gap (g),Top-Up Recommendation,Grinder Initial Output for Charts (16-19g)
2026-04-24 6:30pm,2,,3.66,,7.1,,,,,,,,,,None,,,94,9,39,33,33.4,,,6.00,6.00,0.00,6.00,checked,,,,,Good,,Good,,,0,1,"Caramel-forward entry with integrated chocolate and smooth, stable mouthfeel at first, but the profile becomes coarse and muddy as it develops. Chocolate/cocoa structure becomes more prominent as it cools, presenting as tannic dryness toward the back of the mouth, lingering on the back half of the tongue, and drying along the tongue edges.

Sourness becomes persistent and increasingly noticeable rather than briefly clearing. It resonates on the tongue and flares when the mouth is opened, making the shot much less enjoyable. This sourness is difficult to detect early with this machine/grinder combination because caramel and chocolate can initially mask the imbalance.

Taste selector strengths: Caramel = Medium; Smooth = Medium; Strong/Full = Medium; Clean/Clear = Medium/low-to-medium; Lingering = Medium; Astringent = Medium; Sourness = Medium. Refined intentionally excluded because the taste reads coarse/muddy rather than polished. Overall this is drinkable but not enjoyable, with strong late sourness and reduced clarity.",6.00,,2026-04-20,Phase 1,50.06%,100.00%,50–75%,50–75%,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,89%,,6,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,70.1%,Edge,,Drifting,Mid-High,Check Other Factors,1,No hopper correction,Review manually,,,Sweet Zone,18.0,,,,,,,,
2026-04-25 3:30am,2,,3.75,checked,7.1,,,,,,,,,,None,,,94,8,36,31,34.3,,checked,9.00,9.00,0.00,9.00,checked,,,,,Dialed In,Balanced,Good,,,0,1,"Balanced, clean, slightly muted — “60% chocolate profile, no buildup”

Balanced and controlled shot with a mellow, integrated profile. Caramel and chocolate are evenly matched, resembling a 60% cacao chocolate bar with no dominant note. Mouthfeel is smooth and cohesive with a very slight dryness that enhances the overall texture without introducing astringency.

A light acidity appears near the end of the sip but clears almost immediately and does not linger or disrupt the balance. No buildup between sips, and the finish is clean and resetting.

Overall the shot is very stable and well-extracted, but lacks intensity or defining character. Flavours are blended rather than expressive, resulting in a pleasant but somewhat muted and unexciting profile.

This shot captures: 
* balance ✔
* lack of sweetness dominance ✔
* fleeting acidity ✔
* slight supportive dryness ✔
* “boring but correct” ✔",9.00,,2026-04-20,Phase 1,45.01%,100.00%,30–50%,30–50%,"""MH Bag 2 Apr 21 2026
""",Center,Center,3,3,100.0%,91%,Match,5,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-1,-1,Stable,92.3%,Elite,Target,Stable,Mid,,0,Low hopper but stable — no change,No change,Update Bag Scale Range,,Sweet Zone,17.9,,,,,,,,
2026-04-26 3:55am,2,,3.75,,7.0,,,,,,,,,,None,,,94,7,38,33,33.1,,checked,9.10,9.10,0.00,9.10,checked,,,,,Dialed In,Balanced,Good,,,0,1,"Caramel-forward entry with smooth chocolate body and clean balance, no sourness. Medium body with slight tannin that adds structure without drying, finishing clean with light chocolate. Improved over longer shots; increase yield slightly (~31–31.5g) to explore more depth.",9.10,,2026-04-20,Phase 1,39.92%,100.00%,30–50%,30–50%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,89%,,5,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,1,1,Watch,72.2%,Edge,,Drifting,Mid,Check Other Factors,1,Review manually,Review manually,,,Sweet Zone,17.9,,,,,,,,
2026-04-26 11:30am,2,,3.75,,7.0,,,,,,,,,,None,,,94,6,29,26,33.1,,,6.00,6.00,0.00,6.00,checked,,,,,Good,,Good,,,0,1,unbalanced fault shot,6.00,,2026-04-20,Phase 1,34.63%,100.00%,30–50%,30–50%,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,41%,,3,Slow,Fast,7 / 8 / 10,27 / 31.9 / 35,-6,-6,Adjust — Grind finer,55.7%,Outside,,Drifting,Mid,Check Other Factors,4,Review manually,Grind finer,,,Outside,17.9,,,,,,,,
2026-04-26 11:35am,2,,3.75,,6.9,,,,,,,,,,None,,,94,6,30,28,33.0,,checked,8.85,8.75,0.10,8.79,checked,,,,,Dialed In,Balanced,Good,,,0,1,clean balanced baseline,8.85,,2026-04-20,Phase 1,29.72%,100.00%,15–30%,15–30%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,61%,,2,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-4,-4,Adjust — Grind finer,62.6%,Outside,,Drifting,Low,Likely Hopper Effect,3,Correct — add +0.1 to +0.2 sec or refill hopper,Grind finer,,,Outside,17.7,,,,,,,,
2026-04-27 3:40am,2,,3.75,,6.9,,,,,,,,,,None,,,94,7,34,30,32.1,,checked,9.30,9.25,0.05,9.27,checked,,,,,Dialed In,Balanced,Good,,,0,1,"You’re right at the edge of sweetness and structure — excellent place to be
Active Balanced Shot",9.30,,2026-04-20,Phase 1,24.77%,100.00%,15–30%,15–30%,"""MH Bag 2 Apr 21 2026
""",,Center,3,,0.0%,81%,,4,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-2,-2,Watch,70.8%,Edge,,Drifting,Low,Likely Hopper Effect,1,Correct — add +0.1 to +0.2 sec or refill hopper,Review manually,,,Sweet Zone,17.7,,,,,,,,
2026-04-27 10:30am,2,,3.75,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,Fault,,Fault,,,0,,Lost 18 grams due to accidental spill,,,2026-04-20,Phase 1,19.72%,100.00%,15–30%,,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,Low,,,Review manually,Review manually,,,Outside,,,,,,,,,
2026-04-27 11:00am,2,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,Maintenance - Grinder,,Reconciliation to Zero Out Hopper,,,0,,Went to grind another coffee and the grinder ran out of beans before shot was completed so I purged what I got plus added discrepancy to zero out hopper for next refill and Phase 2,,,2026-04-20,Phase 1,14.77%,100.00%,0–15%,,"""MH Bag 2 Apr 21 2026
""",,Outside,1,,67.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,Very Low,,,Review manually,Review manually,,,Outside,,,,,,,,,
2026-04-27 11:10am,2,,3.75,,,,,,,,,300.0,,300.0,None,,,,,,,,,,,,,,,,,,,Hopper Refill,,Hopper Refill,,,0,,Added 300 grams of beans to refill hopper. ,,,2026-04-20,Phase 2,,,,,,,Outside,1,,67.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,,,,,Review manually,,,Outside,,,,,,,,,
2026-04-27 11:20am,2,,3.75,,,,,,,,,-14.9,14.9,,None,,,,,,,,,,,,,,,,,,,Maintenance - Grinder,,,,,0,,"Ground 14.9 grams of beans after hopper refill to settle beans, hopper had Run out due to inconsistencies in weight and beans left. """"May 5, 2026, Phase 2 started with an unlogged 14.9g purge. Hopper % estimates during Phase 2 may be overstated, especially in the 30% and below range.""""",,,2026-04-20,Phase 2,100.00%,-86.53%,75–100%,,MH Bag 2 April 27 2026,,Outside,1,,67.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,High,,,No hopper correction,Review manually,,,Outside,,,,,,,,,
2026-04-27 11:30am,2,,3.75,,7.1,18.1,18.1,18.1,,,,-18.1,,,None,,0,94,7,31,,31.8,1.76,checked,9.70,9.50,0.20,9.58,checked,,,,,Dialed In,,Good,Daily Driver,,1,1,"Sweet, thick caramel on entry with smooth chocolate body and very high drinkability. Gentle acidity adds brightness without becoming sour, and the cup stays clean as it cools. Finish is soft with light cocoa structure that keeps the sweetness in check.",9.70,,2026-04-20,Phase 2,95.03%,-86.53%,75–100%,75–100%,MH Bag 2 April 27 2026,,Review,0,,100.0%,,,,,,7 / 8 / 10,27 / 31.9 / 35,,,,,,,,High,,,No hopper correction,Review manually,,,Outside,18.0,0.1,,Normal,75–100% → Stable,Stable,,,2.1
2026-04-28 3:15am,2,,3.75,,7.0,17.9,17.9,17.9,,,,-17.9,,,None,,-0,94,6,31,28,30.4,1.70,checked,8.00,8.00,0.00,8.00,checked,,,,,Good,,Good,,,0,1,"Sweet caramel entry remains, but the shot lacks refinement and shows slight muddiness through the body. Extraction feels incomplete, with reduced clarity and weaker chocolate structure compared to the reference shot. Still drinkable, but clearly below the preferred range.",8.00,,2026-04-20,Phase 2,89.03%,-86.53%,75–100%,75–100%,MH Bag 2 April 27 2026,,Center,3,,0.0%,61%,,3,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-4,-4,Adjust — Grind finer,58.3%,Outside,,Drifting,High,Check Other Factors,0,No hopper correction,Grind finer,,,Outside,18.0,-0.1,,Normal,75–100% → Stable,Stable,,,1.9
2026-04-28 12:00pm,2,,3.75,,7.0,17.8,17.8,17.8,,,,-17.8,,,None,,-0,94,8,34,29,32.5,1.83,checked,10.00,9.80,0.20,9.88,checked,,checked,checked,,Dialed In,,Good,Signature Shot,Wine-Like Structured,0,1,"Wine-like, structured espresso with controlled dryness and clean finish. Highly engaging and preferred for its evolving tactile profile over sweeter, easier-drinking versions.",10.00,,2026-04-20,Phase 2,83.03%,-86.53%,75–100%,75–100%,MH Bag 2 April 27 2026,Center,Center,3,3,100.0%,71%,Match,5,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-3,-3,Adjust — Grind finer,91.3%,Great,Target,Watch,High,,0,No hopper correction,Grind finer,,,Sweet Zone,18.0,-0.2,,Normal,75–100% → Stable,Stable,,,1.8
2026-04-29 3:20am,2,,3.75,,7.3,17.8,17.8,17.8,,,,-17.8,,,None,,-0,94,14,47,37,31.8,1.79,,,,,,,,,,,Fault,,"Fault,Grinder Issue",,,0,,"Under-extracted, tossed   I tasted and it tasted sour so I tossed the shot. ",,"“Grinder stalled, required tapping to start feed. Shot start delayed due to button not engaging properly.”",2026-04-20,Phase 2,77.10%,-86.53%,75–100%,75–100%,MH Bag 2 April 27 2026,,Outside,1,,67.0%,49%,,10,Slow,Slow,7 / 8 / 10,27 / 31.9 / 35,5,5,Adjust — Grind coarser,,,,,High,,1,No hopper correction,Grind coarser,,,Outside,18.0,-0.2,,Normal,75–100% → Stable,Stable,,,1.8
2026-04-29 3:45am,2,,3.75,,7.0,18.5,18.5,18.0,,,0.5,-18.5,,,Over → Trim,0.5,1,94,5,,32,30.7,1.71,checked,7.00,6.00,1.00,6.40,checked,,,,,Good,,Good,,,0,1,"Rounded and smooth with a soft, blended body and minimal upfront expression. A light tannin-like dryness and mild acidity emerge in the finish, adding a subtle wine-like character that clears cleanly. Pleasant and balanced, but lacks the full structure and engagement of the longer extraction.
You’re just short of unlocking full structure—this is the “almost there” shot",7.00,,2026-04-20,Phase 2,71.17%,-86.53%,50–75%,50–75%,MH Bag 2 April 27 2026,,Center,3,,0.0%,99%,,,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,0,0,Stable,64.7%,Outside,,Drifting,Mid-High,Check Other Factors,0,No hopper correction,No change,,,Outside,18.0,0.5,,Normal,50–75% → Stable,Stable,,,2.5
2026-04-30 3:40am,2,,3.75,,7.0,18.2,18.2,18.2,,,,-18.2,,,None,,0,94,7,39,35,32.6,1.79,checked,10.00,10.00,0.00,10.00,checked,,checked,,,Dialed In,Balanced,Good,Daily Driver,Chocolate Leaning,1,1,"Reference daily driver shot. Strong chocolate body, smooth entry, and perfectly integrated acidity. Highly repeatable and ideal for everyday drinking.",10.00,,2026-04-20,Phase 2,69.97%,-86.53%,50–75%,50–75%,MH Bag 2 April 27 2026,Center,Center,3,3,100.0%,69%,Match,4,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,3,3,Adjust — Grind coarser,90.7%,Great,Target,Drifting,Mid-High,Check Other Factors,1,No hopper correction,Grind coarser,,,Sweet Zone,18.0,0.2,,Normal,50–75% → Stable,Stable,,,2.2
2026-04-30 10:25am,2,,3.75,,7.0,17.8,17.8,17.8,,,,-17.8,,,None,,-0,94,8,32,28,32.9,1.85,checked,9.70,9.60,0.10,9.64,checked,,,,,Dialed In,,Good,,,0,1,"Rich, drinkable dark chocolate profile with smooth body and a light tannin structure. The finish leans slightly dry, just beyond ideal preference, though still clean and enjoyable. Highly satisfying overall, with excellent chocolate character and only a minor excess of dryness.",9.70,,2026-04-20,Phase 2,63.90%,-86.53%,50–75%,50–75%,MH Bag 2 April 27 2026,Center,Center,3,3,100.0%,61%,Match,4,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-4,-4,Adjust — Grind finer,86.8%,Great,Target,Drifting,Mid-High,Check Other Factors,1,No hopper correction,Grind finer,,,Outside,18.0,-0.2,-0.2,Normal,50–75% → Stable,Stable,0.2,No top-up,1.8
2026-05-01 4:10am,2,,3.75,,7.0,17.3,18.1,18.1,0.2,0.8,,-18.1,,,Under → Top-Up,0.8,-1,94,6,29,26,33.3,1.84,checked,7.50,6.00,1.50,6.60,checked,,,,,Good,,Good,,,0,1,"Fast, open extraction with early acidity that interferes with chocolate development. Tannin is present but lacks supporting body, causing slight imbalance rather than structured finish. Clean and drinkable, but components compete rather than integrate, resulting in an average overall experience.",7.50,,2026-04-20,Phase 2,57.97%,-86.53%,50–75%,50–75%,MH Bag 2 April 27 2026,Edge,Review,0,2,33.0%,41%,Mismatch,3,Slow,Fast,7 / 8 / 10,27 / 31.9 / 35,-6,-6,Adjust — Grind finer,56.4%,Outside,,Drifting,Mid-High,Check Other Factors,2,No hopper correction,Grind finer,,,Outside,18.0,-0.7,0.1,Moderate Drop,50–75% → Drop,Moderate,0.7,Consider 0.3 sec top-up,1.3
2026-05-01 10:35am,2,,3.75,,7.0,18.8,18.8,18.0,,,0.8,-18.8,,,Over → Trim,0.8,1,94,5,28,28,31.7,1.76,checked,9.00,9.20,-0.20,9.12,checked,,,,,Dialed In,,Good,Daily Driver,,1,1,"Sweet, caramel-forward shot with a rounded body and slight muddiness that adds weight and drinkability. Light tannin presence on the upper palate provides mild structure without dryness. Very approachable and consistent, making it an excellent everyday drinking profile.",9.00,,2026-04-20,Phase 2,51.93%,-86.53%,50–75%,50–75%,MH Bag 2 April 27 2026,Center,Center,3,3,100.0%,61%,Match,0,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,-4,-4,Adjust — Grind finer,83.3%,Good,,Drifting,Mid-High,Check Other Factors,2,No hopper correction,Grind finer,,,Outside,18.0,0.8,0.0,Normal,50–75% → Stable,Stable,-0.8,,2.8
2026-05-02 4:30am,2,,3.75,,7.0,18.1,18.1,18.1,,,,-18.1,,,None,,0,94,6,29,26,32.2,1.78,checked,7.00,6.00,1.00,6.40,checked,,,,,Good,,Good,,,0,1,"Noticeable sourness presents early and lingers briefly before fading, slightly interfering with overall balance. Chocolate and sweetness are present but reduced due to fast extraction and low resistance. Drinkable but unintegrated, resulting in a modest, non-engaging shot.",7.00,,2026-04-20,Phase 2,45.67%,-86.53%,30–50%,30–50%,MH Bag 2 April 27 2026,Outside,Review,0,1,67.0%,41%,Mismatch,3,Slow,Fast,7 / 8 / 10,27 / 31.9 / 35,-6,-6,Adjust — Grind finer,60.7%,Outside,,Drifting,Mid,Check Other Factors,3,Review manually,Grind finer,,,Outside,17.9,0.1,0.1,Normal,30–50% → Stable,Stable,-0.1,,2.1
2026-05-02 1:25pm,2,,3.66,checked,7.0,18.2,18.2,18.2,,,,-27.6,9.4,,None,,0,94,7,35,34,32.1,1.76,,4.50,3.50,1.00,3.90,checked,,,,,Good,,Good,,,0,1,"Sour acidity dominates immediately on entry and lingers unpleasantly without clearing. Sweetness, caramel, and chocolate are suppressed, with poor integration and low balance. Valid shot but fast/unintegrated, likely needing a slightly finer grind.",4.50,,2026-04-20,Phase 2,39.63%,-86.53%,30–50%,30–50%,MH Bag 2 April 27 2026,Outside,Outside,1,1,100.0%,79%,Match,1,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,2,2,Adjust — Grind coarser,66.2%,Edge,,Drifting,Mid,Check Other Factors,1,Review manually,Grind coarser,,,Sweet Zone,17.9,0.2,0.2,Normal,30–50% → Stable,Stable,-0.2,,2.2
2026-05-03 5:20am,2,,3.55,checked,7.0,17.4,18.1,18.0,0.2,0.7,0.1,-18.1,,,Under → Top-Up,0.7,-1,94,7,34,32,33.1,1.84,checked,10.00,10.00,0.00,10.00,checked,,checked,,,Dialed In,,Good,Daily Driver,Caramel Leaning,1,1,"Rich, caramel-forward shot with chocolate supporting for a creamy, coating mouthfeel. Excellent integration with strong body and smooth texture. Caramel is dominant while chocolate rounds out the profile. Very balanced and enjoyable throughout, with only a slight tannin dryness appearing late as the cup cools, adding structure without detracting. This represents the ideal expression of the coffee for this bag.",10.00,,2026-04-20,Phase 2,30.43%,-86.53%,30–50%,30–50%,MH Bag 2 April 27 2026,Center,Center,3,3,100.0%,99%,Match,2,Slow,Normal,7 / 8 / 10,27 / 31.9 / 35,0,0,Stable,99.7%,Elite,Target,Stable,Mid,,0,Low hopper but stable — no change,No change,Update Bag Scale Range,,Sweet Zone,17.9,-0.6,0.0,Moderate Drop,30–50% → Drop,Moderate,0.6,Consider 0.3 sec top-up,1.4
